Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 1,/match/839902/matchfacts/wigan-athletic-vs-bolton-wanderers,2010-10-23T12:00:00.000Z
"{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,1 - 2,/match/839897/matchfacts/west-ham-united-vs-newcastle-united,2010-10-23T14:30:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}",FT,1 - 2,/match/839901/matchfacts/stoke-city-vs-manchester-united,2010-10-24T10:30:00.000Z
"{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}","{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}",FT,2 - 1,/match/839894/matchfacts/liverpool-vs-blackburn-rovers,2010-10-24T12:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,0 - 3,/match/839898/matchfacts/manchester-city-vs-arsenal,2010-10-24T13:00:00.000Z
"{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 0,/match/839905/matchfacts/arsenal-vs-west-ham-united,2010-10-30T12:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 2,/match/839910/matchfacts/blackburn-rovers-vs-chelsea,2010-10-30T12:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,1 - 0,/match/839907/matchfacts/everton-vs-stoke-city,2010-10-30T12:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,2 - 0,/match/839911/matchfacts/fulham-vs-wigan-athletic,2010-10-30T12:00:00.000Z
"{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,2 - 1,/match/839909/matchfacts/wolverhampton-wanderers-vs-manchester-city,2010-10-30T12:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,2 - 0,/match/839904/matchfacts/manchester-united-vs-tottenham-hotspur,2010-10-30T14:30:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,0 - 0,/match/839906/matchfacts/aston-villa-vs-birmingham-city,2010-10-31T11:00:00.000Z
"{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}","{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}",FT,5 - 1,/match/839908/matchfacts/newcastle-united-vs-sunderland,2010-10-31T12:30:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,0 - 1,/match/839912/matchfacts/bolton-wanderers-vs-liverpool,2010-10-31T15:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}",FT,2 - 1,/match/839913/matchfacts/blackpool-vs-west-bromwich-albion,2010-11-01T19:00:00.000Z
"{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}","{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}",FT,4 - 2,/match/839921/matchfacts/bolton-wanderers-vs-tottenham-hotspur,2010-11-06T11:45:00.000Z
"{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,2 - 2,/match/839920/matchfacts/birmingham-city-vs-west-ham-united,2010-11-06T14:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}",FT,2 - 1,/match/839918/matchfacts/blackburn-rovers-vs-wigan-athletic,2010-11-06T14:00:00.000Z
"{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}","{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}",FT,2 - 2,/match/839923/matchfacts/blackpool-vs-everton,2010-11-06T14:00:00.000Z
"{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,1 - 1,/match/839919/matchfacts/fulham-vs-aston-villa,2010-11-06T14:00:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,2 - 1,/match/839914/matchfacts/manchester-united-vs-wolverhampton-wanderers,2010-11-06T14:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}",FT,2 - 0,/match/839917/matchfacts/sunderland-vs-stoke-city,2010-11-06T14:00:00.000Z
