,0
1909,Newcastle United
1910,Newcastle
1911,10261
1912,839912
1913,Bolton Wanderers
1914,Bolton
1915,8559
1916,839913
1917,Blackpool
1918,Blackpool
1919,8483
1920,839921
1921,Bolton Wanderers
1922,Bolton
1923,8559
1924,839920
1925,Birmingham City
1926,Birmingham
1927,8658
1928,839918
1929,Blackburn Rovers
1930,Blackburn
1931,8655
1932,839923
1933,Blackpool
1934,Blackpool
1935,8483
1936,839919
1937,Fulham
1938,Fulham
1939,9879
1940,839914
1941,Manchester United
1942,Man United
1943,10260
1944,839917
1945,Sunderland
1946,Sunderland
1947,8472
